username,password,first_name,last_name,telephone1,telephone2,email,machine_id,brigade_name,date_of_birth,date_start_work
cbairak,123456,Леонід,Башполченко,3740261,0226568400,cbairak@i.ua,1,1,1985-09-28,2015-10-21
hordiivasylashko,123456,Назар,Мазур,465-32-77,+380167947301,hordiivasylashko@sirko.укр,2,2,1990-04-27,2010-09-07
jdotsenko,123456,Леопольд,Приймак,+38010296-74-81,2051753,jdotsenko@yeshchenko-vdovychenko.ua,3,3,1998-12-29,2005-07-20
davyd71,123456,Венедикт,Романенко,077605-17-01,0788077563,davyd71@bashpolchenko.ua,4,4,1994-05-24,2012-09-06
chavryshkevych,123456,Богдан,Бабак,917-66-45,+380915352598,chavryshkevych@dzhun.com,5,5,1993-11-11,2012-03-07
verhunmarusia,123456,,Ісаєнко,+38(062)021-43-17,+380105666484,verhunmarusia@meta.ua,6,6,1982-12-22,2006-10-03
gzinkevych,123456,Аврелій,Христич,064825-55-80,1428834,gzinkevych@deineko.net,7,7,1998-05-20,2012-10-14
nosachenkoherman,123456,Марко,Медведенко,+38(081)509-65-58,+38028480-22-75,nosachenkoherman@gmail.com,8,8,1992-08-29,2018-07-10
stepan32,123456,Венедикт,Іванченко,+38081883-89-16,7853190,stepan32@kozachenko-chumak.com,9,9,1984-02-12,2010-04-16
bohuslavatelizhenko,123456,,Єфименко,020773-89-09,398-79-31,bohuslavatelizhenko@meta.ua,10,10,1983-08-28,2012-08-06
prokopovychroman,123456,Іван,Бабʼяк,981-88-97,+380633881509,prokopovychroman@i.ua,11,11,1982-12-07,2004-10-10
onysymartymovych,123456,Марко,Дашенко,+38(052)415-71-99,151-26-37,onysymartymovych@asaula.укр,12,12,1989-05-21,2001-01-28
korzhpavlo,123456,Зорян,Зайченко,854-31-88,+380893588771,korzhpavlo@gov.ua,13,13,1998-03-18,2004-09-04
albinahaida,123456,Арсен,Носенко,719-07-28,059850-30-44,albinahaida@gov.ua,14,14,1995-04-30,2015-08-14
konoplenkohavrylo,123456,Мирослав,Тимчук,+38072882-34-42,+38030260-84-89,konoplenkohavrylo@meta.ua,15,15,1980-06-06,2015-04-14
tsymbaliukstepan,123456,Августин,Тригуб,0262176234,+38024395-01-99,tsymbaliukstepan@i.ua,16,16,1984-09-26,2004-03-05
vira13,123456,Артем,Примаченко,374-92-93,468-78-31,vira13@meta.ua,17,17,1997-04-14,2018-03-16
fomenkoalbina,123456,Роман,Авраменко,+38032182-91-16,+38(073)468-31-20,fomenkoalbina@gov.ua,18,18,1981-07-22,2007-03-04
erika31,123456,Алевтин,Вернидуб,+38086739-64-60,4811669,erika31@ukr.net,19,19,1996-10-04,2015-08-17
zlatoslava76,123456,Леонтій,Давиденко,+380681971607,0716860777,zlatoslava76@email.ua,20,20,1982-11-24,2004-11-18
iiurchyshyn,123456,Азар,Колісниченко,0906057,+38000341-61-10,iiurchyshyn@i.ua,21,21,1987-06-26,2004-12-11
zlatoslava85,123456,Тарас,Петренко,303-20-22,+38026709-20-32,zlatoslava85@vertyporokh-masliak.org,22,22,1998-05-13,2008-07-21
panaslemeshko,123456,Аркадій,Єрьоменко,+38042954-15-72,099397-84-96,panaslemeshko@gov.ua,23,23,1985-07-19,2014-12-29
darahanmakar,123456,Соломон,Ткач,8932389,434-84-03,darahanmakar@vysochan.info,24,24,1996-09-19,2003-08-26
jopanasenko,123456,Семен,Затула,4910859,+380946157065,jopanasenko@karas.org,25,25,1982-09-27,2006-10-10
korzhnestor,123456,Вʼячеслав,Александренко,+380093560682,+380940069950,korzhnestor@atamaniuk.org,26,26,1993-10-07,2003-02-23
prykhodkohanna,123456,Максим,Забарний,0345814440,7418760,prykhodkohanna@i.ua,27,27,1982-05-21,2013-01-01
liudmyla06,123456,Іван,Забара,0005534397,095173-72-45,liudmyla06@vlasiuk.net,28,28,1993-11-08,2006-03-10
lukian27,123456,Яків,Романець,+38047207-91-59,+380953693007,lukian27@perebyinis-skopenko.org,29,29,1991-07-14,2011-11-13
serhii99,123456,Леопольд,Бабиченко,+38(057)204-96-36,0484739948,serhii99@email.ua,30,30,1992-02-24,2015-04-01
davyd61,123456,Ярема,Баштан,5609619,0792227126,davyd61@redko.info,31,31,1989-03-07,2001-03-20
olena70,123456,Опанас,Сомко,052553-43-28,0468831582,olena70@laba.ua,32,32,1986-02-24,2013-08-21
valentyn45,123456,Кирило,Непорожній,002868-49-04,+38(014)678-02-85,valentyn45@meta.ua,33,33,1981-07-16,2004-03-07
andriievychlarysa,123456,Борислав,Гаврилів,+38021285-72-02,+38081792-13-72,andriievychlarysa@meta.ua,34,34,1981-03-25,2003-01-16
wdemianchuk,123456,Святослав,Бабко,+38071477-75-79,010067-19-86,wdemianchuk@i.ua,35,35,1998-02-11,2016-03-12
lazarenkomykolai,123456,Леонтій,Пелех,+38051186-53-54,039637-47-52,lazarenkomykolai@isaienko.укр,36,36,1996-08-18,2014-12-20
valentyna34,123456,Тимофій,Іванченко,+38070412-85-60,133-15-30,valentyna34@meta.ua,37,37,1997-08-17,2015-06-01
oleh96,123456,Гаврило,Шведченко,0386529143,+38065366-85-77,oleh96@gmail.com,38,38,1993-02-16,2002-04-25
iaryna55,123456,Назар,Гузь,+38094173-99-02,054-17-86,iaryna55@i.ua,39,39,1984-03-28,2018-12-05
